门店名称	门店编号	门店地区	门店地址	门店类别	所属商户名称	所属商户编号	商圈编号	商圈名称	是否配置商圈	所属分行机构	品牌名称（考核）	门店状态	变更状态	是否系统隐藏	创建时间	是否同步商户联系人姓名	营业时间	营业开始时间	营业结束时间	是否支持多券核销	是否支持在线买单	是否本分行维护门店
逸刻超市（龙耀路二店）	112502081747270080630	上海市市辖区徐汇区	轨道交通11号线龙耀路站1-101-2	生活服务-超市便利	上海逸刻新零售网络科技有限公司	102501240959090020452			否	上海分行-上海分行-零售产品营销中心	逸刻超市	正常	变更审核通过	0	2025-02-08 17:47:40	是	每天	09:00:00	22:00:00	是	是	是
逸刻超市（政立路店）	112502081747280080631	上海市市辖区杨浦区	政立路389-5号1楼	生活服务-超市便利	上海逸刻新零售网络科技有限公司	102501240959090020452			否	上海分行-上海分行-零售产品营销中心	逸刻超市	正常	变更审核通过	0	2025-02-08 17:47:40	是	每天	09:00:00	22:00:00	是	是	是
逸刻超市（虹梅路店）	112502081747280080632	上海市市辖区徐汇区	虹梅路2071号	生活服务-超市便利	上海逸刻新零售网络科技有限公司	102501240959090020452			否	上海分行-上海分行-零售产品营销中心	逸刻超市	正常	变更审核通过	0	2025-02-08 17:47:40	是	每天	09:00:00	22:00:00	是	是	是
逸刻超市（南昌路店）	112502081747290080633	上海市市辖区黄浦区	南昌路45号101室	生活服务-超市便利	上海逸刻新零售网络科技有限公司	102501240959090020452			否	上海分行-上海分行-零售产品营销中心	逸刻超市	正常	变更审核通过	0	2025-02-08 17:47:40	否	每天	09:00:00	22:00:00	是	是	是
逸刻超市（长寿路站店）	112502081747290080634	上海市市辖区普陀区	轨道交通七号线长寿路站7-103	生活服务-超市便利	上海逸刻新零售网络科技有限公司	102501240959090020452			否	上海分行-上海分行-零售产品营销中心	逸刻超市	正常	变更审核通过	0	2025-02-08 17:47:40	是	每天	09:00:00	22:00:00	是	是	是
逸刻超市（古美路店）	112502081747300080635	上海市市辖区徐汇区	古美路1520号18幢B1-15号	生活服务-超市便利	上海逸刻新零售网络科技有限公司	102501240959090020452			否	上海分行-上海分行-零售产品营销中心	逸刻超市	正常	变更审核通过	0	2025-02-08 17:47:40	否	每天	09:00:00	22:00:00	是	是	是
逸刻超市（淡水路店）	112502081747300080636	上海市市辖区黄浦区	淡水路454号	生活服务-超市便利	上海逸刻新零售网络科技有限公司	102501240959090020452			否	上海分行-上海分行-零售产品营销中心	逸刻超市	正常	变更审核通过	0	2025-02-08 17:47:40	否	每天	09:00:00	22:00:00	是	是	是
逸刻超市（延安东路二店）	112502081747310080637	上海市市辖区黄浦区	延安东路175号1层102室	生活服务-超市便利	上海逸刻新零售网络科技有限公司	102501240959090020452			否	上海分行-上海分行-零售产品营销中心	逸刻超市	正常	变更审核通过	0	2025-02-08 17:47:40	否	每天	09:00:00	22:00:00	是	是	是
逸刻超市（延安东路三店）	112502081747310080638	上海市市辖区黄浦区	延安东路618号远洋商业大厦一座1层1F-9单元	生活服务-超市便利	上海逸刻新零售网络科技有限公司	102501240959090020452			否	上海分行-上海分行-零售产品营销中心	逸刻超市	正常	变更审核通过	0	2025-02-08 17:47:40	否	每天	09:00:00	22:00:00	是	是	是
逸刻超市（中山南路店）	112502081747320080639	上海市市辖区黄浦区	中山南路315号1层103室	生活服务-超市便利	上海逸刻新零售网络科技有限公司	102501240959090020452			否	上海分行-上海分行-零售产品营销中心	逸刻超市	正常	变更审核通过	0	2025-02-08 17:47:40	否	每天	09:00:00	22:00:00	是	是	是
逸刻超市（天潼路店）	112502081747320080640	上海市市辖区虹口区	天潼路328号商场楼1层109室	生活服务-超市便利	上海逸刻新零售网络科技有限公司	102501240959090020452			否	上海分行-上海分行-零售产品营销中心	逸刻超市	正常	变更审核通过	0	2025-02-08 17:47:40	否	每天	09:00:00	22:00:00	是	是	是
逸刻超市（乍浦路店）	112502081747330080641	上海市市辖区虹口区	乍浦路512号吉汇大厦	生活服务-超市便利	上海逸刻新零售网络科技有限公司	102501240959090020452			否	上海分行-上海分行-零售产品营销中心	逸刻超市	正常	变更审核通过	0	2025-02-08 17:47:40	否	每天	09:00:00	22:00:00	是	是	是
逸刻超市（杨树浦路三店）	112502081747330080642	上海市市辖区虹口区	杨树浦路18号	生活服务-超市便利	上海逸刻新零售网络科技有限公司	102501240959090020452			否	上海分行-上海分行-零售产品营销中心	逸刻超市	正常	变更审核通过	0	2025-02-08 17:47:40	否	每天	09:00:00	22:00:00	是	是	是
逸刻超市（长阳路店）	112502081747340080643	上海市市辖区杨浦区	长阳路235号	生活服务-超市便利	上海逸刻新零售网络科技有限公司	102501240959090020452			否	上海分行-上海分行-零售产品营销中心	逸刻超市	正常	变更审核通过	0	2025-02-08 17:47:40	否	每天	09:00:00	22:00:00	是	是	是
逸刻超市（娄山关路店）	112501241344250080328	上海市市辖区长宁区	娄山关路82号新虹桥中心大厦1A室02	生活服务-超市便利	上海逸刻新零售网络科技有限公司	102501240959090020452			否	上海分行-上海分行-零售产品营销中心	逸刻超市	正常	变更审核通过	0	2025-01-24 13:44:26	是	每天	07:00:00	22:00:00	是	是	是
Proust Moment（金融街店）	112412121520480074617	上海市市辖区静安区	中兴路1683号金融街融悦中心L1-26号	美食-面包甜点	上海市静安区啦樂维面包房	102412121502240018864	1470.0	上海金融街购物中心	是	上海分行-上海分行-零售产品营销中心	ProustMome	正常	变更审核通过	0	2024-12-12 16:44:01	是	每天	08:00:00	22:00:00	是	是	是
